"repository","owner","stars","age_years","age_group","ai_score","ai_score_group","stars_group","has_detected_file","has_coauthorship","mentions_copilot","mentions_claude","pre_commits","pre_issues","pre_avg_mi","pos_commits","pos_issues","pos_avg_mi","comparison_mi_change_percent","ai_validation_reason"
"pyodide/pyodide","pyodide","14569","8.2","8 a 11,9 anos","5","Medio (4-6)","Menos de 15 mil","True","True","False","True","208","330","75.6539188833676","166","80","74.9080572508775","-0.985886314283254","Arquivo detectado: .cursorrules; Co-autoria detectada no commit cd9afe1: 'claude'"
"nltk/nltk","nltk","14602","16.7","12 anos ou mais","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","181","227","56.917132998421","307","48","56.5562286487062","-0.634087366496116","Co-autoria detectada no commit 380d8ea: 'copilot'; Co-autoria detectada no commit a1af8be: 'claude'"
"scipy/scipy","scipy","14662","15.2","12 anos ou mais","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","979","1592","61.7755008367865","1000","642","59.9518915701498","-2.95199430508011","Co-autoria detectada no commit 50669a0: 'claude'"
"idank/explainshell","idank","14044","12.7","12 anos ou mais","2","Baixo (2-3)","Menos de 15 mil","True","False","False","True","2","92","72.1805422914743","438","102","51.3916122481537","-28.8012937882515","Arquivo detectado: .claude"
"saltstack/salt","saltstack","15371","15.2","12 anos ou mais","3","Baixo (2-3)","15 mil a 29,9 mil","False","True","True","False","962","2378","49.5232762955412","797","352","50.3375107113913","1.64414488853886","Co-autoria detectada no commit 01dfcb1: 'copilot'"
"PaddlePaddle/PaddleDetection","PaddlePaddle","14195","6.5","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","336","1278","58.5098498820515","3","50","54.0169382956701","-7.67889781880921","Co-autoria detectada no commit 8b03233: 'claude'"
"geldata/gel","geldata","14086","8.9","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","586","282","59.299978493028","7","14","56.2359874710675","-5.16693445735516","Co-autoria detectada no commit ba406fa: 'copilot'"
"dask/dask","dask","13820","11.3","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","292","859","46.3715529182745","109","165","47.6699445848573","2.79997452073918","Co-autoria detectada no commit 5ea912c: 'claude'"
"evilsocket/opensnitch","evilsocket","13579","9.1","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","89","138","37.6098735360034","254","147","56.0710402828386","49.0859580507829","Co-autoria detectada no commit 91d9abe: 'claude'"
"redis/redis-py","redis","13523","16.5","12 anos ou mais","8","Alto (7+)","Menos de 15 mil","True","True","True","True","229","201","58.6532685532253","114","137","58.9225036063144","0.459028217403995","Arquivo detectado: .claude; Co-autoria detectada no commit bd2589c: 'copilot'; Co-autoria detectada no commit 7e8ea88: 'claude'"
